tiempo,coste
38,3616.6
58,3398.4000000000005
38,3616.6
58,3398.4000000000005
39,3585.0
40,3527.6
40,3527.6
41,3495.7999999999997
39,3585.0
53,3408.2000000000003
44,3470.2
44,3470.2
51,3421.4
46,3457.0
43,3482.6
42,3494.2
43,3482.6
53,3408.2000000000003
49,3437.0
47,3450.2
50,3428.2000000000003
48,3441.4
46,3457.0
51,3421.4
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
58,3398.4000000000005
38,3616.6
40,3527.6
39,3585.0
44,3470.2
43,3482.6
53,3408.2000000000003
46,3457.0
51,3421.4
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
38,3616.6
40,3527.6
39,3585.0
44,3470.2
43,3482.6
53,3408.2000000000003
46,3457.0
51,3421.4
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
38,3616.6
40,3527.6
39,3585.0
44,3470.2
43,3482.6
53,3408.2000000000003
46,3457.0
51,3421.4
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
38,3616.6
40,3527.6
39,3585.0
44,3470.2
43,3482.6
53,3408.2000000000003
46,3457.0
51,3421.4
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
42,3494.2
38,3616.6
40,3527.6
39,3585.0
44,3470.2
43,3482.6
53,3408.2000000000003
46,3457.0
51,3421.4
50,3428.2000000000003
47,3450.2
48,3441.4
49,3437.0
41,3495.7999999999997
54,3408.2000000000003
34,3700.600000000001
34,3700.600000000001
54,3408.2000000000003
35,3584.8
40,3522.7999999999997
37,3571.6000000000004
41,3495.7999999999997
38,3546.4
38,3546.4
42,3491.0
43,3472.8
48,3432.2000000000003
46,3445.4
52,3421.4
44,3465.4
45,3452.2000000000003
51,3428.2000000000003
46,3445.4
52,3421.4
35,3584.8
43,3472.8
36,3577.4
44,3465.4
45,3452.2000000000003
36,3577.4
48,3432.2000000000003
41,3495.7999999999997
42,3491.0
51,3428.2000000000003
34,3700.600000000001
54,3408.2000000000003
38,3546.4
52,3421.4
46,3445.4
35,3584.8
43,3472.8
44,3465.4
45,3452.2000000000003
36,3577.4
48,3432.2000000000003
41,3495.7999999999997
42,3491.0
51,3428.2000000000003
54,3408.2000000000003
38,3546.4
46,3445.4
52,3421.4
35,3584.8
43,3472.8
44,3465.4
45,3452.2000000000003
48,3432.2000000000003
41,3495.7999999999997
42,3491.0
51,3428.2000000000003
54,3408.2000000000003
38,3546.4
52,3421.4
46,3445.4
35,3584.8
43,3472.8
44,3465.4
45,3452.2000000000003
48,3432.2000000000003
41,3495.7999999999997
42,3491.0
51,3428.2000000000003
54,3408.2000000000003
38,3546.4
46,3445.4
52,3421.4
35,3584.8
43,3472.8
44,3465.4
45,3452.2000000000003
48,3432.2000000000003
41,3495.7999999999997
42,3491.0
51,3428.2000000000003
54,3408.2000000000003
38,3546.4
46,3445.4
52,3421.4
35,3584.8
43,3472.8
44,3465.4
45,3452.2000000000003
48,3432.2000000000003
41,3495.7999999999997
42,3491.0
51,3428.2000000000003
54,3408.2000000000003
38,3546.4
46,3445.4
52,3421.4
43,3472.8
44,3465.4
45,3452.2000000000003
48,3432.2000000000003
53,3405.8000000000006
36,3640.2000000000007
36,3640.2000000000007
53,3405.8000000000006
37,3608.4000000000005
38,3560.8
40,3535.0
37,3608.4000000000005
41,3503.2
39,3559.2000000000003
40,3535.0
51,3419.0000000000005
50,3435.6000000000004
44,3477.6
51,3419.0000000000005
44,3477.6
46,3464.4
43,3490.0
42,3501.6
43,3490.0
48,3448.8
49,3439.0000000000005
47,3457.6
48,3448.8
46,3464.4
47,3457.6
49,3439.0000000000005
50,3435.6000000000004
38,3560.8
41,3503.2
39,3559.2000000000003
42,3501.6
53,3405.8000000000006
36,3640.2000000000007
37,3608.4000000000005
40,3535.0
51,3419.0000000000005
44,3477.6
43,3490.0
48,3448.8
46,3464.4
47,3457.6
49,3439.0000000000005
50,3435.6000000000004
38,3560.8
41,3503.2
42,3501.6
39,3559.2000000000003
53,3405.8000000000006
36,3640.2000000000007
37,3608.4000000000005
40,3535.0
51,3419.0000000000005
44,3477.6
43,3490.0
48,3448.8
46,3464.4
47,3457.6
49,3439.0000000000005
50,3435.6000000000004
38,3560.8
41,3503.2
39,3559.2000000000003
42,3501.6
53,3405.8000000000006
36,3640.2000000000007
37,3608.4000000000005
40,3535.0
51,3419.0000000000005
44,3477.6
43,3490.0
48,3448.8
46,3464.4
47,3457.6
49,3439.0000000000005
50,3435.6000000000004
38,3560.8
41,3503.2
39,3559.2000000000003
42,3501.6
53,3405.8000000000006
36,3640.2000000000007
37,3608.4000000000005
40,3535.0
51,3419.0000000000005
44,3477.6
43,3490.0
48,3448.8
46,3464.4
47,3457.6
49,3439.0000000000005
50,3435.6000000000004
38,3560.8
41,3503.2
42,3501.6
39,3559.2000000000003
53,3405.8000000000006
36,3640.2000000000007
37,3608.4000000000005
40,3535.0
54,3402.4
35,3584.8
35,3584.8
54,3402.4
36,3547.2000000000003
37,3539.8
38,3521.6000000000004
49,3431.2000000000003
44,3464.4
44,3464.4
39,3514.2000000000003
47,3444.4
52,3415.6
46,3451.2000000000003
40,3501.0000000000005
43,3477.0000000000005
42,3487.8000000000006
43,3477.0000000000005
49,3431.2000000000003
51,3422.4
46,3451.2000000000003
51,3422.4
47,3444.4
52,3415.6
36,3547.2000000000003
38,3521.6000000000004
37,3539.8
39,3514.2000000000003
40,3501.0000000000005
41,3494.2000000000003
41,3494.2000000000003
42,3487.8000000000006
35,3584.8
54,3402.4
44,3464.4
43,3477.0000000000005
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
36,3547.2000000000003
38,3521.6000000000004
37,3539.8
39,3514.2000000000003
40,3501.0000000000005
41,3494.2000000000003
42,3487.8000000000006
35,3584.8
54,3402.4
44,3464.4
43,3477.0000000000005
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
47,3444.4
52,3415.6
36,3547.2000000000003
38,3521.6000000000004
37,3539.8
39,3514.2000000000003
40,3501.0000000000005
41,3494.2000000000003
42,3487.8000000000006
54,3402.4
35,3584.8
44,3464.4
43,3477.0000000000005
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
36,3547.2000000000003
38,3521.6000000000004
37,3539.8
39,3514.2000000000003
40,3501.0000000000005
41,3494.2000000000003
42,3487.8000000000006
35,3584.8
54,3402.4
44,3464.4
43,3477.0000000000005
49,3431.2000000000003
46,3451.2000000000003
51,3422.4
52,3415.6
47,3444.4
36,3547.2000000000003
38,3521.6000000000004
37,3539.8
39,3514.2000000000003
40,3501.0000000000005
41,3494.2000000000003
42,3487.8000000000006
54,3402.4
35,3584.8
44,3464.4
43,3477.0000000000005
36,3656.6000000000004
54,3402.4
54,3402.4
36,3656.6000000000004
37,3655.0000000000005
38,3526.6000000000004
42,3499.2000000000003
43,3472.0
45,3446.4
44,3470.4
39,3525.0000000000005
40,3501.0000000000005
51,3422.4
48,3426.4
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
41,3500.8
37,3655.0000000000005
42,3499.2000000000003
44,3470.4
39,3525.0000000000005
40,3501.0000000000005
41,3500.8
54,3402.4
36,3656.6000000000004
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
44,3470.4
42,3499.2000000000003
37,3655.0000000000005
39,3525.0000000000005
40,3501.0000000000005
41,3500.8
54,3402.4
36,3656.6000000000004
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
44,3470.4
37,3655.0000000000005
39,3525.0000000000005
42,3499.2000000000003
40,3501.0000000000005
41,3500.8
54,3402.4
36,3656.6000000000004
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
44,3470.4
37,3655.0000000000005
42,3499.2000000000003
39,3525.0000000000005
40,3501.0000000000005
41,3500.8
54,3402.4
36,3656.6000000000004
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
42,3499.2000000000003
37,3655.0000000000005
39,3525.0000000000005
44,3470.4
40,3501.0000000000005
41,3500.8
54,3402.4
36,3656.6000000000004
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
42,3499.2000000000003
44,3470.4
37,3655.0000000000005
39,3525.0000000000005
40,3501.0000000000005
41,3500.8
36,3656.6000000000004
54,3402.4
45,3446.4
48,3426.4
51,3422.4
38,3526.6000000000004
43,3472.0
44,3470.4
42,3499.2000000000003
52,3415.6
34,3714.8000000000006
34,3714.8000000000006
52,3415.6
35,3584.8
39,3544.8
40,3514.0
44,3464.4
42,3488.4
44,3464.4
49,3435.6
47,3444.4
40,3514.0
41,3495.7999999999997
36,3577.4
37,3559.2000000000003
37,3559.2000000000003
38,3546.4
47,3444.4
49,3435.6
42,3488.4
35,3584.8
36,3577.4
41,3495.7999999999997
38,3546.4
39,3544.8
34,3714.8000000000006
52,3415.6
44,3464.4
40,3514.0
37,3559.2000000000003
47,3444.4
49,3435.6
42,3488.4
35,3584.8
36,3577.4
41,3495.7999999999997
38,3546.4
39,3544.8
52,3415.6
34,3714.8000000000006
44,3464.4
40,3514.0
37,3559.2000000000003
47,3444.4
49,3435.6
42,3488.4
35,3584.8
36,3577.4
41,3495.7999999999997
38,3546.4
39,3544.8
34,3714.8000000000006
52,3415.6
44,3464.4
40,3514.0
37,3559.2000000000003
47,3444.4
49,3435.6
42,3488.4
35,3584.8
36,3577.4
41,3495.7999999999997
38,3546.4
39,3544.8
52,3415.6
34,3714.8000000000006
44,3464.4
40,3514.0
37,3559.2000000000003
47,3444.4
49,3435.6
42,3488.4
35,3584.8
36,3577.4
41,3495.7999999999997
38,3546.4
39,3544.8
34,3714.8000000000006
52,3415.6
44,3464.4
40,3514.0
37,3559.2000000000003
47,3444.4
49,3435.6
42,3488.4
35,3584.8
36,3577.4
41,3495.7999999999997
38,3546.4
39,3544.8
52,3415.6
34,3714.8000000000006
44,3464.4
40,3514.0
37,3559.2000000000003
47,3444.4
49,3435.6
42,3488.4
35,3584.8
37,3572.2000000000007
59,3392.6000000000004
59,3392.6000000000004
37,3572.2000000000007
38,3548.2000000000007
40,3521.6000000000004
40,3521.6000000000004
38,3548.2000000000007
41,3497.6000000000004
53,3400.0000000000005
43,3480.4000000000005
44,3464.4
51,3413.2000000000003
50,3428.2000000000003
51,3413.2000000000003
48,3441.4
49,3431.2000000000003
58,3398.4000000000005
41,3497.6000000000004
42,3487.8000000000006
45,3460.4000000000005
46,3451.2000000000003
42,3487.8000000000006
